------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:05:27 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
Date: 6/19/2024 -- 09:06:48 (uptime: 0d, 00h 01m 29s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 7763
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 21752
capture.afpacket.poll_timeout                 | Total                     | 8024
capture.afpacket.poll_data                    | Total                     | 13728
decoder.pkts                                  | Total                     | 7763
decoder.bytes                                 | Total                     | 9775430
decoder.ipv4                                  | Total                     | 7763
decoder.ethernet                              | Total                     | 7763
decoder.tcp                                   | Total                     | 7659
tcp.syn                                       | Total                     | 16
tcp.synack                                    | Total                     | 16
tcp.rst                                       | Total                     | 7
decoder.udp                                   | Total                     | 84
decoder.icmpv4                                | Total                     | 20
decoder.avg_pkt_size                          | Total                     | 1259
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 16
flow.total                                    | Total                     | 44
flow.active                                   | Total                     | 32
flow.tcp                                      | Total                     | 16
flow.udp                                      | Total                     | 28
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
tcp.sessions                                  | Total                     | 16
tcp.ssn_from_pool                             | Total                     | 16
tcp.segment_from_cache                        | Total                     | 1176
tcp.segment_from_pool                         | Total                     | 127
tcp.stream_depth_reached                      | Total                     | 1
detect.alert                                  | Total                     | 2
app_layer.flow.http                           | Total                     | 6
app_layer.tx.http                             | Total                     | 8
app_layer.flow.tls                            | Total                     | 10
app_layer.flow.dns_udp                        | Total                     | 28
app_layer.tx.dns_udp                          | Total                     | 84
flow.end.state.new                            | Total                     | 12
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9012
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 58
flow.mgr.flows_notimeout                      | Total                     | 46
flow.mgr.flows_timeout                        | Total                     | 12
flow.mgr.flows_evicted                        | Total                     | 12
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 12
flow.recycler.queue_max                       | Total                     | 2
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1298432
http.memuse                                   | Total                     | 5588
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:06:56 (uptime: 0d, 00h 01m 37s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 7771
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 22330
capture.afpacket.poll_timeout                 | Total                     | 8596
capture.afpacket.poll_data                    | Total                     | 13734
decoder.pkts                                  | Total                     | 7771
decoder.bytes                                 | Total                     | 9775972
decoder.ipv4                                  | Total                     | 7771
decoder.ethernet                              | Total                     | 7771
decoder.tcp                                   | Total                     | 7667
tcp.syn                                       | Total                     | 16
